showtimeId,movieTitle,theaterName,localDate,localTime,totalSeats,availableSeats,ticketPrice
1,Series career agree,"Munoz, Krueger and Solomon Cinemas",2026-07-11,16:00:00,300,281,24.23
2,Almost,Aguilar-Bender Cinemas,2026-08-18,19:00:00,80,72,8.81
3,Gas around along,Zuniga Group Cinemas,2026-08-04,13:00:00,80,71,21.07
4,Member turn improve,"Davis, Rodriguez and Andrews Cinemas",2026-06-25,10:00:00,100,91,23.05
5,Learn get,"Hendricks, Zuniga and Miller Cinemas",2026-07-06,10:00:00,300,285,8.76
6,Heavy board,Davenport-Reynolds Cinemas,2026-07-03,19:00:00,120,106,9.92
7,Could social,"Allen, Gonzales and Reeves Cinemas",2026-08-15,13:00:00,120,107,20.51
8,General above price,Flores Ltd Cinemas,2026-07-17,21:30:00,250,241,21.7
9,Very guess water spring,Hall Ltd Cinemas,2026-07-31,21:30:00,180,162,10.22
10,Include available,Gallagher-Diaz Cinemas,2026-07-02,10:00:00,120,92,21.2
11,Smile capital,"Medina, Lee and Freeman Cinemas",2026-07-01,21:30:00,180,175,21.96
12,Tend,Williams-Harmon Cinemas,2026-06-28,10:00:00,200,181,9.66
13,Protect economy,"Barnes, Miranda and Stephenson Cinemas",2026-09-02,16:00:00,100,98,16.37
14,Nearly author,Smith-Carrillo Cinemas,2026-07-27,21:30:00,200,195,17.54
15,Drop,Holloway and Sons Cinemas,2026-08-23,16:00:00,180,166,13.17
16,Smile wrong,"Ramirez, Horne and Johnson Cinemas",2026-07-08,21:30:00,150,143,14.04
17,Seek up,Sellers LLC Cinemas,2026-08-18,16:00:00,250,244,9.06
18,Thank behind,"Smith, Swanson and Glass Cinemas",2026-07-22,19:00:00,120,84,12.92
19,Research decide even,Chase-Washington Cinemas,2026-08-18,19:00:00,120,111,14.4
20,Bit positive break,"Baker, Mason and White Cinemas",2026-07-19,13:00:00,150,144,21.13
21,Instead,Wood-Watson Cinemas,2026-08-10,13:00:00,300,281,11.58
22,Own pretty field,"Garrison, Ryan and Miller Cinemas",2026-06-24,19:00:00,200,187,9.85
23,Reach would,Peterson-Mullins Cinemas,2026-07-22,13:00:00,300,285,18.68
24,Else coach,Hoffman PLC Cinemas,2026-08-20,19:00:00,300,286,17.43
25,Spend animal,"Evans, David and Hendrix Cinemas",2026-08-22,16:00:00,200,179,12.85
26,Miss free,"Figueroa, Mcpherson and Howard Cinemas",2026-08-21,16:00:00,120,113,13.76
27,North alone,Grant-Diaz Cinemas,2026-07-21,21:30:00,180,173,19.14
28,Gas service,Williamson Group Cinemas,2026-07-24,13:00:00,200,185,9.54
29,Dream experience chair,Garcia LLC Cinemas,2026-07-06,10:00:00,100,82,8.46
30,Either writer tonight,Casey-Romero Cinemas,2026-07-08,16:00:00,100,76,13.59
31,Her price,Campbell and Sons Cinemas,2026-06-26,16:00:00,120,118,9.33
32,Behind run hand with,"White, Burch and Reynolds Cinemas",2026-08-09,16:00:00,200,197,22.26
33,Project,"Olson, Hebert and Jones Cinemas",2026-07-04,13:00:00,200,182,20.79
34,Staff political theory,Miller-Smith Cinemas,2026-08-30,13:00:00,150,126,23.78
35,Its hour treatment themselves,"Cook, Jones and Jones Cinemas",2026-07-19,10:00:00,150,146,24.84
36,Weight lead whom,Sanchez-Douglas Cinemas,2026-08-31,19:00:00,250,233,11.25
37,Now whom smile,Lee-Weeks Cinemas,2026-07-08,19:00:00,250,241,19.91
38,Officer skin quality,Landry-Hill Cinemas,2026-07-14,10:00:00,300,277,9.31
39,Smile about,"Haas, Richardson and Lee Cinemas",2026-09-01,10:00:00,180,164,15.33
40,During together feel,Stewart Group Cinemas,2026-09-01,13:00:00,120,113,22.34
41,Election trip pressure,Payne PLC Cinemas,2026-07-14,21:30:00,100,100,15.73
42,Create attack life,Jackson Ltd Cinemas,2026-07-29,10:00:00,100,82,11.46
43,Nor consider tree,Sullivan PLC Cinemas,2026-07-02,21:30:00,250,229,11.76
44,Throw history method,"Wiley, Tapia and Smith Cinemas",2026-07-27,10:00:00,250,237,10.71
45,Hour individual,Wright Group Cinemas,2026-08-23,16:00:00,200,194,17.78
46,Fire require mind,Harrington Group Cinemas,2026-07-04,10:00:00,100,95,18.79
47,Development thus,"King, Taylor and Middleton Cinemas",2026-08-03,13:00:00,150,132,9.9
48,Hospital attorney computer,"Patterson, Camacho and White Cinemas",2026-08-05,10:00:00,180,173,24.57
49,Generation radio,Mccoy-Alvarado Cinemas,2026-07-11,10:00:00,250,228,16.76
50,Role imagine,"Clarke, Lane and Wilson Cinemas",2026-07-10,21:30:00,150,146,19.16
51,Start visit,"Chen, Faulkner and Casey Cinemas",2026-08-14,21:30:00,150,128,24.22
52,House chance practice,Moran PLC Cinemas,2026-08-16,13:00:00,100,93,16.47
