theaterId,theaterName,theaterAddress,theaterCity,theaterState,screensTotal
1,"Rodriguez, Figueroa and Sanchez Cinemas",181 Johnson Course,East William,AK,7
2,"Gonzalez, Santos and Gardner Cinemas",9402 Peterson Drives,Port Matthew,CO,4
3,Davis-Abbott Cinemas,78161 Calderon River Suite 931,Lake Jeremyport,CO,12
4,Delacruz Group Cinemas,5255 Elizabeth Squares Apt. 928,East Steven,KY,11
5,"Watts, Robinson and Nguyen Cinemas",05641 Robin Port,Jasonfort,MO,11
6,"Ellis, Baker and Wright Cinemas",969 Cox Dam Suite 101,Lake Ernest,TX,8
7,Carlson-Cruz Cinemas,480 Erin Plain Suite 514,Mooretown,VA,7
8,"Baker, Mason and White Cinemas",489 Eric Track,New Stephanie,NC,6
9,George Group Cinemas,54303 Christopher Oval,Port Amandaberg,DC,17
10,"Alvarez, Pierce and Baker Cinemas",83465 Lam Mission Apt. 331,Andrewside,IN,5
11,"Robinson, Jones and Welch Cinemas",05183 Caldwell Forest,Lake Selena,OK,4
12,"Kennedy, Mueller and Aguirre Cinemas",16566 Shields Center,North Richardmouth,AS,6
13,Wright and Sons Cinemas,62473 Scott Wall Apt. 080,Port Melindaburgh,MT,10
14,Olson-Hancock Cinemas,60647 Henderson Street,Mooreport,IL,11
15,Riley PLC Cinemas,500 Shaw Walk,North Susan,CO,20
16,Jones Inc Cinemas,1939 Christine Manor,Sarahborough,TN,4
17,"Edwards, Baker and Anderson Cinemas",5107 Charles Forest Suite 251,West Justin,NV,10
18,"Warner, Carr and Archer Cinemas",841 Joseph Coves,West Juan,IL,17
19,"Cooper, Watts and Farrell Cinemas",0164 Adam Trail Apt. 427,Hoffmanville,CA,11
20,"Mckee, Gardner and Davenport Cinemas",2045 Rachel Fords,Lake Curtis,WI,18
21,"Henson, Russell and Oliver Cinemas",22602 Patton Loop,West Erik,UT,12
22,Reyes Inc Cinemas,37543 Andrew Fields Suite 541,Michaelhaven,MO,4
23,"Zavala, Herrera and Crosby Cinemas",2940 Candace Key,Samuelhaven,DE,9
24,Lam-Lee Cinemas,608 Michael Cliff,Cindyville,VA,17
25,Hunter-Estrada Cinemas,4823 Ortega Light Apt. 994,Kelleytown,ME,14
26,Clark-Floyd Cinemas,7738 Leon Underpass Apt. 148,Clarencebury,TX,12
27,Walker-Gonzalez Cinemas,37917 Mercado Ports,Lake Heather,NM,8
28,Sanchez-Douglas Cinemas,63287 Angela Vista,South Dennismouth,TN,10
29,"Travis, Larson and Dodson Cinemas",868 Merritt Summit Suite 743,Katiehaven,NM,14
30,"Allen, Gonzales and Reeves Cinemas",5581 Edward Lights,Lake Jason,MT,7
31,Rivera-Owens Cinemas,66909 Woods Knoll,Karenchester,ND,6
